LONG,LAT
-43.38891139,60.1578999
-43.6283943,60.21402067
-43.594372,60.39729868
-43.8628754,60.42034751
-44.13884229,60.4374885
-44.27676618,60.63495506
-44.2141118,60.6539409
-42.89146941,60.68093424
-43.56403349,60.68808292
-44.67891966,60.68851816
-43.8085519,60.70170306
-43.81204896,60.72791741
-43.30442992,60.74572643
-43.3515647,60.79135742
-43.60293337,60.84648271
-43.07697661,60.92283741
-43.5033827,60.92586478
-43.32159251,60.93499595
-43.22044174,60.93945875
-42.81103688,60.96212628
-45.06896466,61.00883189
-46.92245743,61.03090899
-46.76681621,61.04795073
-43.13800071,61.04886254
-46.67583372,61.0495654
-46.60349858,61.05148023
-43.2348045,61.05945019
-46.49976114,61.07807376
-43.66120529,61.0784749
-43.3847123,61.07969968
-43.82923089,61.08319362
-45.0198469,61.09164027
-46.34292566,61.1194623
-43.91034758,61.12202986
-43.27267589,61.20806852
-45.144018,61.239745
-46.19564138,61.27731251
-46.08348982,61.32832445
-43.2982187,61.32921908
-45.78287073,61.34259309
-42.96892169,61.35065723
-42.67700834,61.43411033
-43.00224812,61.50323306
-48.08645659,61.56787274
-43.11755555,61.60373841
-43.10617862,61.61397582
-48.14757387,61.63330872
-42.67390419,61.68282681
-42.90638392,61.73945704
-42.45692798,61.74843374
-42.85204039,61.79759393
-42.72939337,61.82216059
-42.79781674,61.83024772
-42.74564544,61.83747428
-42.58300983,61.91666306
-48.69550033,61.95637445
-42.60414184,62.06184102
-48.7728081,62.07195624
-42.40004823,62.12858811
-48.97069821,62.2201735
-42.3507792,62.22467014
-42.54622654,62.28965695
-42.62711468,62.29903859
-42.72758665,62.38977068
-43.00073626,62.4181774
-50.17519208,62.46439573
-43.10849636,62.48785366
-43.09842044,62.55051956
-43.16698721,62.65830211
-43.24222868,62.75686691
-42.71422298,62.91847335
-42.25949244,63.03305629
-49.516942,63.065516
-42.33717654,63.2453044
-49.64222688,63.25253984
-42.31861718,63.28327017
-41.98467553,63.31640041
-49.77417761,63.41700968
-49.77522882,63.41831144
-41.9800348,63.42386196
-50.27181936,63.52027648
-41.78544542,63.55803827
-41.05085819,63.56417557
-41.65549197,63.70276176
-40.89798474,63.7134271
-40.99312266,63.73593712
-40.71894778,63.75742919
-40.69094682,63.80845808
-41.80195942,63.85158583
-41.74493403,63.86919404
-40.77794619,63.87230513
-41.41464197,63.89205831
-41.50717607,63.91488603
-40.90597705,63.92567077
