LAT,LONG,NAMES
60.7977,-44.4902,Sermeq
61.3107,-47.8693,Sermeq
63.5576,-50.3999,Sermeq
72.8409,-54.2837,Sermeq
73.941,-55.7679,Sermeq Avanarleq
60.1349,-43.5125,Sermeq Avannarleq
60.2171,-43.337,Sermeq Avannarleq
69.3833,-50.2667,Sermeq Avannarleq
70.0853,-50.2468,Sermeq Avannarleq
70.5454,-50.4896,Sermeq Avannarleq
71.0275,-50.8354,Sermeq Avannarleq
60.9667,-44.9167,Sermeq Kangilleq
60.1166,-43.37,Sermeq Kujalleq
60.2505,-43.2445,Sermeq Kujalleq
69.1833,-49.8,Sermeq Kujalleq
69.996,-50.1596,Sermeq Kujalleq
70.4054,-50.5364,Sermeq Kujalleq
73.8317,-55.5825,Sermeq Kujalleq
60.2352,-43.2644,Sermeq Qeqqarleq
71.3134,-53.0942,Sermeq Qiterleq
70.8268,-50.7627,Sermeq Silarleq
65.3167,-51.8333,Sermeralak
65.6326,-52.6537,Sermeralak
65.863,-52.5227,Sermeralak
66.0152,-52.9947,Sermeralak
65.649,-52.4373,Sermeralak Kangilleq
65.6142,-52.4541,Sermeralak Killeq
69.6939,-52.9475,Sermersuaq
70.4,-51.8333,Sermersuaq
70.6251,-52.8178,Sermersuaq
72.0034,-55.3242,Sermersuaq
75.3167,-57.8333,Sermersuaq
79.4462,-63.3957,Sermersuaq
60.5686,-44.4636,Sermersuasik
69.7836,-54.1239,Sermia
77.0801,-66.2232,Sermiarsupaluk
77.1858,-69.2548,Sermiarsupaluk
77.4312,-70.4834,Sermiarsupaluk
77.5009,-68.7533,Sermiarsupaluk
77.6059,-68.7698,Sermiarsupaluk
77.8378,-71.1813,Sermiarsupaluk
77.2223,-69.7298,Sermiarsussuaq
77.3933,-71.6583,Sermiarsussuaq
77.4494,-70.6344,Sermiarsussuaq
60.3479,-44.1093,Sermikasik
64.4049,-51.1232,Sermikasik
60.1627,-43.7278,Sermikasik Avannarleq
60.1639,-43.7038,Sermikasik Kujalleq
70.3479,-51.355,Sermikassak
70.481,-52.5397,Sermikassak
71.0349,-51.7,Sermikassak
71.3478,-51.8294,Sermikassak
71.5187,-51.6101,Sermikassak
71.5914,-51.7084,Sermikassak
71.6794,-53.2674,Sermikassak
72.1364,-53.8372,Sermikassak
74.1831,-56.7513,Sermikassak
61.6377,-48.1399,Sermiligaarsuup Sermia
60.9845,-46.9863,Sermilik
70.6333,-50.6167,Sermilik
61.095,-46.3171,Serminnguaq
66.3504,-52.5585,Serminnguaq
66.5145,-52.6893,Serminnguaq
70.9359,-52.0836,Serminnguaq
71.1911,-52.7654,Serminnguaq
71.435,-51.4196,Sermip Kujataatungaani Sermikassak
71.0015,-51.4613,Sermipalaaq
75.9394,-66.5167,Sermipaluk
76.0473,-65.5518,Sermipaluk
76.9876,-70.9062,Sermipaluk
77.2065,-70.4837,Sermipaluk
65.9667,-52.5,Sermitaq Ammalortoq
60.5319,-44.4256,Sermitsiaq
66.0167,-52.8167,Sermitsiaq
60.7165,-45.207,Sermitsiaq Kangilleq
65.9281,-52.4308,Sermitsiaq Kangilleq
60.7022,-45.2375,Sermitsiaq Killeq
62.2,-42.35,Sikuijivittip Apusiia
63.454,-41.9659,Singiiaaleqaaq
62.5571,-49.8911,Sioqqap Sermia
60.8598,-44.8764,Siorallip Sermia
77.854,-70.6716,Siorarsuit Sermiat
70.7474,-50.6447,Sisoortartukassak
70.9541,-51.5766,Sisuugajooq
65.9649,-52.5623,Sisuugussiviup Sermia
77.3618,-67.9872,Siunnaatalik
66.5056,-34.8588,Sulussuulip Apusiia
66.0053,-52.4531,Taateraat Sermiat
65.9632,-52.2621,Taateraatsiaat Sermiat
66.0167,-52.2,Taateraatsiaat Sermiat
65.9906,-51.8946,Tapa
71.1435,-51.3648,Tassartooq
71.5663,-52.1744,Tinumanikassaata Sermia
77.7167,-66.9496,Toornaarsulissuup Sermii
77.7315,-66.6444,Toornaarsulissuup Sermii
66.3803,-34.8863,Tuttiliip Kattertarpia
77.7337,-68.7931,Tuttu Gletsjer
74.9618,-57.0355,Tuttulikassaap Sermia
77.7,-66.233,Tuttulipaluup Sermia
77.4199,-72.0338,Ujaassuup Sermia
77.3783,-72.2667,Ujarasussuarsuit Itilliat
76.5797,-67.626,Ullip Sermia
71.8063,-52.3578,Umiammakku Sermiat
70.4754,-51.9816,Umiartorfiup Sermia
71.2362,-51.6242,Umiatsiakassak
77.4323,-72.2135,Upernavissuup Sermia
67.9505,-50.3005,Usulluup Sermia
61.9667,-48.6333,Uukkaasorsuaq
